Section,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Table Identifiers,Table Identifiers,Table Identifiers,Table Identifiers,Table Identifiers,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Peak Row,Peak Row,Peak Row,Peak Row,Peak Row,Peak Row,Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,Preprocessing,,,,,,,,,,,,,,,
76,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,687,,vw (very weak relative intensity),,Mulliken,v14,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,622,,"vs (very strong relative intensity), pol. (polarized)",,Mulliken,v6,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,590,,"s (strong relative intensity), depol. (depolarized)",,Mulliken,v15,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,544,,"vs (very strong relative intensity), pol. (polarized)",,Mulliken,v7,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,433,,m (medium relative intensity),,Mulliken,v16,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,366,,"vs (very strong relative intensity), pol. (polarized)",,Mulliken,v8,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,300,,"vs (very strong relative intensity), pol. (polarized)",,Mulliken,v9,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,262,,"vvs (very very strong relative intensity), pol. (polarized)",,Mulliken,v10,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,223,,"w (weak relative intensity), Mercury plasma line",,Mulliken,v11,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,204,,"w (weak relative intensity), Mercury plasma line",,Mulliken,v10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,162,,vvs (very very weak relative intensity),,Mulliken,v10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,133,,vs (very strong relative intensity),,Mulliken,v17,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,11,Table 6.,Raman spectrum of C2F6I,,,,,,,,,,,,,,,,,,,,,C2F6I,,,,,,liquid,,,cm^-1,,,70?,,,,Mulliken,v18,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,The Infrared and Raman Spectra of CF3OF,Scientific Paper,,,,The Journal of Chemical Physics,20,1768,R.T. Lagemann,AIP Publishing,11-xx-1952,,,,"The sample of CF30F was prepared in this laboratory. Carbon monoxide and fluorine at atmospheric pressure were passed simultaneously over silver fluoride to form F2CO. The F2CO was then further fluorinated in the presence of AgF2 to form the CF30F. Various flow rates were tried. The method is not the same as that described by Kellogg and Cady, the only others to report the preparation of CF3OF, but they do mention this procedure. CF4, F2CO, and HF were present as impurities, as could be noted from the spectrum. F2CO was present to the extent of about 5 inches Hg per atmosphere pressure of the sample studied. A good knowledge of the spectra of these impurities exists, so that for the most part it was possible to eliminate bands due to them from the spectra. The infrared absorption spectrum of CF3OF in the gas state was investigated over the range from 2 to 25mu by means of two Perkin-Elmer prism spectrometers. A double-beam Model 21 was used for the NaCI region. The region from 15-25mu was studied with a Model 12-C using a KBr prism. The entire spectrum was recorded at a pressure of 24 inches Hg, and regions of strong and weak absorption at lower and higher pressures, respectively. The cell length was 10 cm. When using NaCI and KBr windows on the cell, there was noted the formation of ""window bands,"" mostly in the region 2-1Omu, presumably due to the reaction of the gas with the window material. This absorption persisted when the cell was evacuated. It was possible, nevertheless, to observe in these regions by using CaF 2 windows. Also, the presence of such bands could be determined by noting that they remained constant in intensity (allowing time for them to form) as the gas pressure was varied. The Raman spectrum of the liquid was photographed by means of a Lane-Wells spectrograph. The standard Lane-Wells mercury arc excitation unit was used. Appropriate filters were used to eliminate the background and excitation from mercury lines other than from the desired parent line. The Raman shift at 250 cm-1 was found using 5460A as the parent; all others were found as shifts from 4358A. The liquid sample, which boils at about minus 94°C, was contained in a glass Raman tube about one-half inch in diameter inserted in a Dewar. The Dewar was equipped with a plane window to permit exit of the Raman light and was so made that liquid filters could be poured in to surround the sample. The sample was maintained in the liquid state by a stream of cold, dried nitrogen that had passed through coils placed in liquid nitrogen. The Raman spectrum was recorded on Eastman Tri-X Panchromatic film. A slit width of 150 microns was used with exposures varied from ~ to 3 hours. No polarization data were secured. ",,5,Table II.,The fundamental vibration frequencies of CF3OF,,,,,,,,,,,,,,,,,,,,,CF3OF,,,,,,liquid,,,cm^-1,,,939,,s (strong relative intensity),,,,,,A',,stretch,,,,OF,OF stretch,,,,,,,,,,,,,,,,,,,,,,,,,,,
